"filename", "language", "JSON", "JavaScript", "Properties", "TypeScript", "JSON with Comments", "YAML", "TypeScript JSX", "PostCSS", "XML", "HTML", "Markdown", "comment", "blank", "total"
"d:\react-projects\the-wild-oasis-ts\src\features\check-in-out\useCheckin.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
"d:\react-projects\the-wild-oasis-ts\src\features\check-in-out\useCheckout.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"d:\react-projects\the-wild-oasis-ts\src\features\settings\UpdateSettingsForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 2, 15, 111
"d:\react-projects\the-wild-oasis-ts\src\features\settings\useSettings.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"d:\react-projects\the-wild-oasis-ts\src\features\settings\useUpdateSetting.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\react-projects\the-wild-oasis-ts\src\features\settings\useUpdateSettings.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\react-projects\the-wild-oasis-ts\src\hooks\use-file-upload.ts", "TypeScript", 0, 0, 0, 345, 0, 0, 0, 0, 0, 0, 0, 13, 53, 411
"d:\react-projects\the-wild-oasis-ts\src\hooks\useMoveBack.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\react-projects\the-wild-oasis-ts\src\hooks\useSortableColumn.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 4, 9, 45
"d:\react-projects\the-wild-oasis-ts\src\lib\utils.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\react-projects\the-wild-oasis-ts\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
